Frecuencia (Hz)	Nivel (dB)
93,750000	-18,765894
187,500000	-19,329233
281,250000	-19,539223
375,000000	-19,539055
468,750000	-19,436058
562,500000	-19,011143
656,250000	-17,950491
750,000000	-16,235668
843,750000	-16,046179
937,500000	-17,414904
1031,250000	-18,432646
1125,000000	-19,168327
1218,750000	-19,136971
1312,500000	-18,901548
1406,250000	-18,029957
1500,000000	-16,255997
1593,750000	-14,025386
1687,500000	-15,523498
1781,250000	-17,920864
1875,000000	-18,565552
1968,750000	-18,829510
2062,500000	-18,867126
2156,250000	-18,635754
2250,000000	-17,431767
2343,750000	-14,853919
2437,500000	-14,347004
2531,250000	-16,778128
2625,000000	-18,423626
2718,750000	-19,119387
2812,500000	-19,813358
2906,250000	-19,801140
3000,000000	-19,582670
3093,750000	-18,620277
3187,500000	-17,228735
3281,250000	-19,233706
3375,000000	-22,625887
3468,750000	-24,742460
3562,500000	-27,113840
3656,250000	-28,997351
3750,000000	-31,004944
3843,750000	-33,508579
3937,500000	-35,451824
4031,250000	-38,930058
4125,000000	-47,724979
4218,750000	-57,269722
4312,500000	-54,119526
4406,250000	-53,086685
4500,000000	-54,383160
4593,750000	-58,052391
4687,500000	-63,455620
4781,250000	-59,723446
4875,000000	-57,645515
4968,750000	-57,857738
5062,500000	-59,376457
5156,250000	-62,697937
5250,000000	-68,489594
5343,750000	-70,245598
5437,500000	-64,264931
5531,250000	-60,604046
5625,000000	-59,828003
5718,750000	-63,020252
5812,500000	-68,169548
5906,250000	-75,163300
6000,000000	-71,721527
6093,750000	-67,598831
6187,500000	-66,108047
6281,250000	-66,125336
6375,000000	-67,950195
6468,750000	-72,955879
6562,500000	-77,376305
6656,250000	-71,872665
6750,000000	-69,129143
6843,750000	-68,324783
6937,500000	-69,435715
7031,250000	-72,221367
7125,000000	-77,175751
7218,750000	-74,165886
7312,500000	-70,202545
7406,250000	-68,906914
7500,000000	-69,731583
7593,750000	-71,680275
7687,500000	-75,846291
7781,250000	-80,510063
7875,000000	-73,081085
7968,750000	-67,231117
8062,500000	-66,861603
8156,250000	-69,929619
8250,000000	-73,690788
8343,750000	-79,263184
8437,500000	-80,806046
8531,250000	-75,155258
8625,000000	-71,473091
8718,750000	-68,556938
8812,500000	-68,001450
8906,250000	-72,300652
9000,000000	-80,445755
9093,750000	-80,576370
9187,500000	-76,026070
9281,250000	-73,639175
9375,000000	-72,822296
9468,750000	-73,815247
9562,500000	-76,306465
9656,250000	-81,386726
9750,000000	-78,778198
9843,750000	-75,338516
9937,500000	-74,536873
10031,250000	-74,836693
10125,000000	-76,721046
10218,750000	-81,521194
10312,500000	-79,441864
10406,250000	-73,960144
10500,000000	-73,161507
10593,750000	-74,082550
10687,500000	-75,433098
10781,250000	-78,441841
10875,000000	-83,948853
10968,750000	-82,775620
11062,500000	-76,009384
11156,250000	-71,303032
11250,000000	-71,433777
11343,750000	-75,312447
11437,500000	-79,904648
11531,250000	-85,688835
11625,000000	-82,402969
11718,750000	-77,941772
11812,500000	-75,281212
11906,250000	-74,571793
12000,000000	-75,140831
12093,750000	-79,886391
12187,500000	-86,303566
12281,250000	-82,250481
12375,000000	-78,892548
12468,750000	-77,729752
12562,500000	-78,149254
12656,250000	-80,396141
12750,000000	-84,497375
12843,750000	-85,202156
12937,500000	-81,033012
13031,250000	-78,676598
13125,000000	-78,010521
13218,750000	-78,829674
13312,500000	-81,844009
13406,250000	-86,592522
13500,000000	-82,694427
13593,750000	-77,604927
13687,500000	-76,646889
13781,250000	-77,155197
13875,000000	-79,604401
